Ruund	French
Chakin, en uyikatilany anamakwen in Kristu awonsu adia mwi ngand ya Masedon. Pakwez anamakwetu in Kristu, twakulembijekany chakwel uwejanyaku kusal mwamu kakwau ni kakwau.	C'est d'ailleurs cet amour que vous manifestez envers tous les frères de la Macédoine entière. Mais nous vous exhortons, frères, à faire mieux encore.
Kimbany mutapu wa kushakamany zong, kangal wichikany pa milong ya antu akwau, salany midimu chakwel wipitilanyap yom yifanyidina kwikwash nich, mudi mutwakulejanya.	Ayez pour ambition de vivre en paix, de vous occuper de vos propres affaires et de gagner votre vie de vos propres mains, comme nous vous l'avons déjà recommandé.
Anch ukatilany kukulimishany kudi antu akwau akad kwikal in Kristu, kichifanyidinap kuswadil chom cha muntu.	Votre conduite suscitera ainsi le respect des non-chrétiens, et vous ne serez à la charge de personne.
Kuchirik kwa Nsalejetu	La venue du Seigneur
Anamakwetu in Kristu, tukatil en ushinshikany uyakin mulong wa antu afila kal, chakwel en kiukwovanyap ushon mudi mukat kwovau antu akad ruchingej.	Frères, nous désirons que vous connaissiez la vérité au sujet de ceux qui sont morts, afin que vous ne soyez pas tristes comme les autres, ceux qui n'ont pas d'espérance.
Etu twitiyin anch Yesu wafa, chad wavumbuka wikal kand mwom. Chawiy chimwing kand, twitiyin anch, antu awonsu afa kal ading akweta ritiy mu Yesu, niyau Nzamb ukez kuyisend pamwing nend Yesu.	Nous croyons que Jésus est mort et qu'il s'est relevé de la mort; de même, nous croyons aussi que Dieu relèvera avec Jésus ceux qui seront morts en croyant en lui.
Malejan mitukulejinanya katat madi malejan ma Nsalejetu. Etu tukwikala aom pa dichuku dikuchirikay Nsalejetu, kitukez kusambelakup kuya kurutu kwa antu afa kal.	Voici en effet ce que nous déclarons d'après un enseignement du Seigneur: ceux d'entre nous qui seront encore en vie quand le Seigneur viendra, ne seront pas avantagés par rapport à ceux qui seront morts.
Kukez kwikal rubil, ni dizu dia muruu mujim wa mwiur, ni chidjimin cha mpuny ya Nzamb, chad Nsalejetu amwinend ukez kushirik kudiokal mwiur. Antu awonsu afa kal amwitiyija Kristu, awiy akez kusambelaku kuvumbuk kwikal kand aom.	On entendra un cri de commandement, la voix de l'archange et le son de la trompette de Dieu, et le Seigneur lui-même descendra du ciel. Ceux qui seront morts en croyant au Christ se relèveront les premiers;
Chad etu tudia aom pa chisu chinicha akez kutukumangej pamwing nau awiy mu madj, mulong wa kumusankan Nsalejetu pa rinzwizu. Mwamu mutukeza kushakam nend Nsalejetu pamwing chikupu.	ensuite, nous qui serons encore en vie à ce moment-là, nous serons enlevés avec eux au travers des nuages pour rencontrer le Seigneur dans les airs. Et ainsi nous serons toujours avec le Seigneur.
Chawiy kasikeshijanany mu ritiy muntu ni mukwau nich mazu minam.	Réconfortez-vous donc les uns les autres par ces paroles.
En, anamakwetu in Kristu, kiukwetanyap kuswir kwa kukufundilany mulong wa yisu ni yirung yikushika yom yiney.	Vous n'avez pas besoin, frères, qu'on vous écrive au sujet des temps et des moments où tout cela arrivera.
Mulong en ayinen wijany nawamp anch, dichuku dikuchirikay Nsalejetu dikez kushik kwa kukashimuk mudi mukat kwezay mwij uchuku.	Car vous savez très bien vous-mêmes que le jour du Seigneur viendra de façon aussi imprévisible qu'un voleur pendant la nuit.
Pakez kulondau antu anch: "Tukwet chisambu ni kwikang," pawiy pinipa kamu kusheshik kukez kuyikashimwish, mudi misong yikata kumukashimwish mband ukweta divumu. Chad kwikil umwing ukeza kukwasanik.	Quand les gens diront: «Tout est en paix, en sécurité», c'est alors que, tout à coup, la ruine s'abattra sur eux, comme les douleurs de l'accouchement sur une femme enceinte. Personne ne pourra y échapper.
Pakwez en, anamakwetu in Kristu, kiudianyap mu mididim chakwel dichuku dined dikukashimwishany mudi mwij.	Mais vous, frères, vous n'êtes pas en pleine obscurité pour que ce jour vous surprenne comme un voleur.
En awonsu udiany antu ija yom ya kutok, ukat kwendilany mu muten. Kitudiap in kwendil mu uchuku, ap kushakam mu mididim.	Vous tous, en effet, vous dépendez de la lumière, vous appartenez au jour. Nous ne dépendons ni de la nuit ni de l'obscurité.
Chawiy etu kitufanyidinap kulal tul mudi antu akwau, pakwez tufanyidin kuchish ku mes ni kubabal.	Ainsi, ne dormons pas comme les autres; mais restons éveillés, sobres.
Uchuku wawiy ukat kulalau antu, uchuku wawiy kand ukat kukwachikau antu.	Les dormeurs, c'est la nuit qu'ils dorment, et les buveurs, c'est la nuit qu'ils s'enivrent.
Pakwez etu tukat kwendil mu muten, chifanyidin etu kubabal. Chifanyidin kand etu kudjal ritiy ni rukat mudi rukibu rikasinau pa ntul. Tudjala kand ruchingej ra dipandish dietu mudi chiful cha utad.	Mais nous, qui appartenons au jour, nous devons être sobres. Prenons la foi et l'amour comme cuirasse, et l'espérance du salut comme casque.
Nzamb katutondap etu mulong wa kutujimen, bwat, pakwez watutonda mulong wa kutambul dipandish mwi Nsalejetu Yesu Kristu. lluiolis wa Autaillbul dipandish mwi Nsalejetu Yesu Kristu.	En effet, Dieu ne nous a pas destinés à subir sa colère, mais à posséder le salut par notre Seigneur Jésus-Christ.
Kristu wafa mulong wa kutwambat etu chakwel tukutwish kushakam nend anch tudi aom, ap anch tudi afu pakuchirikay.	Le Christ est mort pour nous afin de nous faire vivre avec lui, que nous soyons vivants ou morts quand il viendra.
Chawiy kasikeshijanany mu ritiy muntu ni mukwau, kwashijanany kand mudi muukat kusalanya.	Ainsi, encouragez-vous et fortifiez-vous dans la foi les uns les autres, comme vous le faites déjà.
Malejan ma Paul ma kwisudiel ni kulangwish	Dernières recommandations et salutations
Anamakwetu in Kristu, twakwilembilany chakwel uyilimishany adia pakach pen akata kukutakelany ni kukukandany mwi Nsalejetu.	Frères, nous vous demandons de respecter ceux qui travaillent parmi vous, ceux qui, par ordre du Seigneur, vous dirigent et vous avertissent.
Yilamany nich kalimish nakash ni rukat mulong wa midimu yau. Shakamany nich chisambu pakach pen.	Manifestez-leur beaucoup d'estime et d'amour, à cause de leur activité. Vivez en paix entre vous.
Anamakwetu in Kristu, twakushindilany anch, yikandany in usweral, yikasikeshany akweta wom, yikwashany aziyila, shimpishany michim kudi antu awonsu.	Nous vous le recommandons, frères: avertissez les paresseux, encouragez les craintifs, venez en aide aux faibles, soyez patients envers tous.
En, babalany, chakwel kangal umwing wenen wachirish kuyip ku kuyip kudi mukwau, pakwez yisu yawonsu en sotany mutapu wa kusal kuwap pakach pen ni kudi antu awonsu.	Prenez garde que personne ne rende le mal pour le mal, mais cherchez en tout temps à faire le bien entre vous et envers tout le monde.
Sangarany machuku mawonsu,	Soyez toujours joyeux,
lembilany kwakad kulik,	priez sans cesse,
mujikitishany Nzamb mu yom yawonsu, mulong riner rawiy rusot ra Nzamb kudi en mu Kristu Yesu.	remerciez Dieu en toute circonstance. Voilà ce que Dieu demande de vous, dans votre vie avec Jésus-Christ.
Kangal wamukangeshany Mwiku Utumbila.	Ne faites pas obstacle à l'action du Saint-Esprit;
Kangal wadiulany mazu malondilau aruu a Nzamb.	ne méprisez pas les messages inspirés.
Shinshikany yom yawonsu, ulamany yom yidia yiwamp,	Mais examinez toutes choses: retenez ce qui est bon,
pakwez likany kusal kuyip kwa mitapu yawonsu.	et gardez-vous de toute forme de mal.
Tukat kulembil anch, Nzamb wa chisambu akwishitwishany nakash, alama nawamp miku yen, ni mipim yen, ni mijimbu yen wakad kufa nich, djat ni pakuchirikay Nsalejetu Yesu Kristu.	Que Dieu, source de paix, fasse que vous soyez totalement à lui; qu'il garde votre être entier, l'esprit, l'âme et le corps, irréprochable pour le jour où viendra notre Seigneur Jésus-Christ.
Ndiy ukutazukinany udi mwin yakin, ndiy ukuwanyish yom yiney.	Celui qui vous appelle accomplira cela, car il est fidèle.
Anamakwetu in Kristu, tulembidilany niyetu.	Frères, priez aussi pour nous.
Anamakwetu in Kristu, langwishijanany en awonsu muntu ni mukwau nich kususujan kutumbila.	Saluez tous les frères d'un baiser fraternel.
Nakushinshikany ku ulabu wa Nsalejetu, tangany mukand winou kudi anamakwetu in Kristu awonsu.	Je vous en supplie, au nom du Seigneur: lisez cette lettre à tous les frères.
Chifanyidin ranaken ra Nsalejetu Yesu Kristu rikala ni yenen.	Que la grâce de notre Seigneur Jésus-Christ soit avec vous.
Yam Paul, ni Silas, nend Timote tufundila mukand winou kudi en, in Chikumbu cha Nzamb a ku musumb wa Tesalonik. En udiany antu a Nzamb Tatuku ni a Nsalejetu Yesu Kristu.	De la part de Paul, Silas et Timothée. A l'Église de Thessalonique, qui appartient à Dieu notre Père et au Seigneur Jésus-Christ:
Chifanyidin Nzamb Tatukwetu ni Nsalejetu Yesu Kristu akwinkishany chisambu ni ranaken.	Que Dieu notre Père et le Seigneur Jésus-Christ vous accordent la grâce et la paix.
Dirumburish dichingedila kuchirik kwa Kristu	Le jugement prévu pour le jour de la venue du Christ
Anamakwetu in Kristu, chifanyidin etu kumujikitish Nzamb yisu yawonsu mulong wenen mudi muchifanyidina. Tukat kusal mwamu mulong ritiy ren rikat kuya ni kujimb nakash, ni rukat ren riukwetany kudi muntu ni mukwau rikat kuya ni kujimb kand pakach penen awonsu.	Nous devons sans cesse remercier Dieu à votre sujet, frères. Il est juste que nous le fassions, car votre foi fait de grands progrès et l'amour que vous avez tous, les uns pour les autres, augmente constamment.
Chawiy tukat kwibaz mulong wenen mu Yikumbu ya Nzamb, mulong udandamedinany kwiman dang. Tukat kwibaz kand mulong wa ritiy riukwetanya mu kuzengol kwen ni mu mar miukata kumanany.	C'est pourquoi nous parlons de vous avec fierté dans les Églises de Dieu, parce que vous tenez bon dans la foi malgré toutes les persécutions et les détresses que vous subissez.
Yom yiney yawonsu yikat kushinshik anch, dirumburish dia Nzamb ditentamin, chad mwamu en ukez kwikalany antu awanyidina kwandam mu Want wend, umedinanya mar.	Il y a là une preuve du juste jugement de Dieu, car ce que vous supportez vous rendra dignes de son Royaume, pour lequel vous souffrez.
Nzamb ukez kuwanyish yom yitentamina, ndiy ukez kuyimesh mar awiy akumeshinanya en mar,	En effet, Dieu est juste: il rendra détresse pour détresse à ceux qui vous font souffrir,
ukez kukwinkishany en umenanya mar kwiswedish, ukez kutwinkish kand niyetu. Ndiy ukez kusal mwamu pakez kumekanay Nsalejetu Yesu kudiokal mwiur, pamwing nau aruu end a mwiur akweta dikand.	et il vous donnera l'apaisement, à vous qui souffrez, ainsi qu'à nous. Cela se passera quand le Seigneur Jésus apparaîtra du ciel avec ses anges puissants;
Ukez kwezil mu kasu ka muzwizu mulong wa kulejan kadimu kudi antu akata kumulik Nzamb, ni kulik kuziyil ku Rusangu Ruwamp ra Nsalejetu Yesu.	il viendra dans un feu flamboyant, pour punir ceux qui refusent de connaître Dieu et qui n'obéissent pas à la Bonne Nouvelle de notre Seigneur Jésus.
Kadimu kakez kuyilejau kakez kwikal kusheshik kwa chikupu. Akez kuyauril kulemp ni Nsalejetu, akez kwikal kand kulemp ni dikand diend dia uyaj,	Ils subiront comme châtiment une ruine éternelle, loin de la présence du Seigneur et loin de sa puissance glorieuse,
pakez kurumburishay pa Dichuku dinidia. Ukez kutambul uyaj kudi antwend awonsu ni katumb kudi antu awonsu amwitiyija. Niyen ukez kwikalanyaku, mulong en witiyijanya Rusangu Ruwamp ritwakulejanya.	lorsqu'il viendra en ce jour-là pour être honoré et admiré par tous ceux qui lui appartiennent et croient en lui. Vous serez vous-mêmes de leur nombre, car vous avez cru au message que nous vous avons annoncé.
Wawiy mulong tukata kukulembidilany machuku mawonsu. Tukat kumulembil Nzamb chakwel akwikadishany antu awanyidina kutambul mwom wakutazukinanyau. Tukat kulembil kand chakwel ku ukash wend akuwanyishinany yom yawonsu yiwamp yiusotilany, ni kuwanyish midimu yen ya ritiy.	C'est pourquoi nous prions sans cesse pour vous. Nous demandons à notre Dieu de vous rendre dignes de la vie à laquelle il vous a appelés. Nous demandons que, par sa puissance, il vous aide à réaliser vos désirs de faire le bien et qu'il rende votre foi parfaitement active.
Chad mwamu dijin dia Nsalejetu Yesu akez kuditumbishin mu en, niyen akez kukutumbishinany mwi ndiy ku ranaken ra Nzamb wetu, ni ra Nsalejetu Yesu Kristu.	Ainsi, le nom de notre Seigneur Jésus sera honoré par vous, et vous serez honorés par lui. Tel sera l'effet de la grâce de notre Dieu et du Seigneur Jésus-Christ.
Muyimp	La révolte finale
Chawiy mulong wa kuchirik kwa Nsalejetu Yesu Kristu, ni mulong wa kutukumangej etu pamwing chakwel tumusankan ndiy. Twakwilembilany, anamakwetu in Kristu,	En ce qui concerne la venue de notre Seigneur Jésus-Christ et notre rassemblement auprès de lui, nous vous demandons une chose, frères:
kangal warumbanganany swa, ap kwiyakamish. Chakin, antu in kudimban akat kulond anch: "Dichuku dikurumburishay Nsalejetu diashik kal." Akwau akat kudimban anch, etu twalonda mwamu pitwabwaka, ap pitwarumburila Rusangu Ruwamp, ap anch twafunda yom yiney mu mukand.	ne vous laissez pas trop facilement troubler l'esprit ni effrayer si quelqu'un affirme que le jour du Seigneur est arrivé. Ne le croyez pas, même si l'on se réclame d'une prophétie, d'une déclaration ou d'une lettre qui nous seraient attribuées.
Kangal witiyany muntu akudimbany ku mitapu yawonsu. Dichuku dined kidikushikap kal ching anch antu avud amubwambwil Nzamb kapamp ka kwisudiel, chad kand anch Muyimp wamekan, winou ndiy ukez kusheshau kudi Nzamb.	Ne vous laissez tromper par personne, d'aucune façon. Car ce jour ne viendra pas avant qu'ait lieu la révolte finale et qu'apparaisse la Méchanceté personnifiée, l'être destiné à la ruine.
Ndiy ukez kupompat akish awonsu ni yom yikwau yawonsu yikat kwifukwilau antu, ukez kwizambwish kwitek amwinend piur pa yom yiney yawonsu. Chad ukez kutek ditand diend mu Chikumbu cha Nzamb, ni kwimekesh amwinend anch: "Yam kamu Nzamb!"	Celui-ci s'opposera à tout ce que les hommes adorent et considèrent comme divin. Il s'élèvera contre tout cela, et ira jusqu'à pénétrer dans le temple de Dieu pour s'y asseoir en se faisant passer lui-même pour Dieu.
Ov, kiuvurikinanyap anch nakulejanya yom yiney yawonsu pinadinga pamwing ni yenen?	Ne vous rappelez-vous pas que je vous ai dit cela quand j'étais encore auprès de vous?
En wijany anch, kudi chom chikata kukangesh yom yiney kumekan katat, niyen uchijany chom chinech. Muyimp ukez kumekan pa chisu chend chiwanyidina.	Cependant, vous savez que quelque chose retient cet être méchant maintenant, de sorte qu'il n'apparaîtra qu'au moment prévu.
Ukash wa Muyimp wa mu ujindj wasambishin kal mudimu, pakwez yom yikeza kwez kiyikumekanap kal ching anch ndiy ukata kuyikangesh yom yiney wadiokalaku.	La puissance secrète de la Méchanceté est déjà à l'œuvre; seulement, elle ne le sera pleinement que lorsque celui qui la retient encore lui laissera la voie libre.
Chad Muyimp ukez kumekan, pakwez pakuchirikay Nsalejetu Yesu, ndiy ukez kumujip Muyimp nich mwiku wa mu kan mwend ni kumushesh shutit nich uyaj ukwezay nich.	Alors, l'être méchant apparaîtra, et le Seigneur Jésus le fera mourir par le souffle de sa bouche, il le détruira par la splendeur de sa venue.
Pakwezay Muyimp, ukez kwikal nich ukash wa Sakudimban, chad ukez kusal yilay ya mitapu yawonsu ni yishimushimu ya makasu.	L'être méchant viendra avec la puissance de Satan, il accomplira toutes sortes de miracles et de prodiges trompeurs;
Ndiy ukez kudimban mitapu yawonsu antu akuya ku kujiy, akujiy kamu mulong alikin kwau kukat uyakin ukutwisha kuyipandish.	il usera du mal sous toutes ses formes pour séduire ceux qui vont à leur perte. Ils se perdront parce qu'ils n'auront pas accueilli et aimé la vérité qui les aurait sauvés.
Chawiy Nzamb ukat kuyitumin ukash wa kurumbuk, chad ukash winou ukat kuyibachik kwitiy yom ya makasu.	Voilà pourquoi Dieu leur envoie une puissance d'erreur qui les pousse à croire au mensonge.
Chawiy mwamu antu awonsu akad kwitiyij uyakin akata kusanger mu yitil yau, akez kuyifish nich.	Ainsi, tous ceux qui n'auront pas cru à la vérité, mais qui auront pris plaisir au mal, seront condamnés.
